,nwk_choice,ice_1,ice_2,tro_1,tro_2,fir_1,fir_2,fir_3,p1_m_coeff,p1_p_coeff,p1_cst,p1_max_m,p2_m_coeff,p2_p_coeff,p2_cst,p2_max_m,p3_m_coeff,p3_p_coeff,p3_cst,p3_max_m
30,2,1,0,0,0,0,1,0,0.09591706509748839,0.4346301803432778,2.170201901098949,441.84725367182136,0.05371265441882853,0.9721391433524519,3.59503783043764,301.28092498543236,0.0,0.0,0.0,0.0
31,2,0,1,0,0,0,1,0,0.06836565435749703,0.8668195100069599,6.303680467460957,511.17972996346987,0.05371265441882853,0.9721391433524519,3.59503783043764,301.28092498543236,0.0,0.0,0.0,0.0
32,2,1,0,0,0,0,0,1,0.09591706509748839,0.4346301803432778,2.170201901098949,441.84725367182136,0.05371265441882853,0.9721391433524519,3.59503783043764,301.28092498543236,0.0,0.0,0.0,0.0
33,2,0,1,0,0,0,0,1,0.06836565435749703,0.8668195100069599,6.303680467460957,511.17972996346987,0.05371265441882853,0.9721391433524519,3.59503783043764,301.28092498543236,0.0,0.0,0.0,0.0
34,3,0,0,0,0,0,0,1,0.05575614153254054,0.9134305303119807,4.37500952439607,708.6319905660968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,3,1,0,0,0,0,0,0,0.09484034512641103,0.4495442304061676,1.565786718648468,637.18088096996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,3,0,1,0,0,0,0,0,0.07720570286577864,0.798494206383347,6.694145702960114,884.2754842612229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,3,0,0,1,0,0,0,0,0.0873196854723193,1.4599974600070365,14.398288711526249,1015.2519567703689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,3,0,0,0,1,0,0,0,0.09918096829527652,2.7192246770693558,32.98799902879202,1154.1791066992541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,3,0,0,0,0,1,0,0,0.06847839977514321,0.35884553606992226,0.8455294016193484,518.5536800346747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,3,0,0,0,0,0,1,0,0.05575614153254054,0.9134305303119807,4.37500952439607,708.6319905660968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
