,Parent,Variable,Type,Name,Layer,Flow_min,Flow_grad,InOut
496,gv2_ss,gv2_ss_u2,temp_chil,gv2_ss_tin_u,sp12gv2_temp,274.15,2.0,in
497,gv2_ss,gv2_ss_v2,temp_chil,gv2_ss_tin_v,sp12gv2_temp,0.0,-2.0,in
498,gv2_ss,gv2_ss_u2,flow,gv2_ss_mfin_u,gv2nwk2ss_flow,0.0,377.5,in
499,gv2_ss,gv2_ss_v2,flow,gv2_ss_mfin_v,gv2nwk2ss_flow,0.0,377.5,in
500,gv2_ss,gv2_ss_u2,temp_chil,gv2_ss_tout_u,ss2sp2_temp,0.4009776095868811,137.90833333333333,out
501,gv2_ss,gv2_ss_v2,temp_chil,gv2_ss_tout_v,ss2sp2_temp,0.33333333333333337,138.24166666666665,out
502,gv2_ss,gv2_ss_u2,flow,gv2_ss_flow_out_u,distnwk_consol_flow,0.0,377.5,out
503,gv2_ss,gv2_ss_v2,flow,gv2_ss_flow_out_v,distnwk_consol_flow,0.0,377.5,out
504,gv2_ss,gv2_ss_u3,temp_chil,gv2_ss_tin_u,sp12gv2_temp,274.15,2.0,in
505,gv2_ss,gv2_ss_v3,temp_chil,gv2_ss_tin_v,sp12gv2_temp,0.0,-2.0,in
506,gv2_ss,gv2_ss_u3,flow,gv2_ss_mfin_u,gv2nwk2ss_flow,0.0,377.5,in
507,gv2_ss,gv2_ss_v3,flow,gv2_ss_mfin_v,gv2nwk2ss_flow,0.0,377.5,in
508,gv2_ss,gv2_ss_u3,temp_chil,gv2_ss_tout_u,ss2sp2_temp,0.23431094292021437,138.24166666666665,out
509,gv2_ss,gv2_ss_v3,temp_chil,gv2_ss_tout_v,ss2sp2_temp,0.1666666666666667,137.90833333333333,out
510,gv2_ss,gv2_ss_u3,flow,gv2_ss_flow_out_u,distnwk_consol_flow,0.0,377.5,out
511,gv2_ss,gv2_ss_v3,flow,gv2_ss_flow_out_v,distnwk_consol_flow,0.0,377.5,out
512,gv2_ss,gv2_ss_u4,temp_chil,gv2_ss_tin_u,sp12gv2_temp,274.15,2.0,in
513,gv2_ss,gv2_ss_v4,temp_chil,gv2_ss_tin_v,sp12gv2_temp,0.0,-2.0,in
514,gv2_ss,gv2_ss_u4,flow,gv2_ss_mfin_u,gv2nwk2ss_flow,0.0,377.5,in
515,gv2_ss,gv2_ss_v4,flow,gv2_ss_mfin_v,gv2nwk2ss_flow,0.0,377.5,in
516,gv2_ss,gv2_ss_u4,temp_chil,gv2_ss_tout_u,ss2sp2_temp,0.012088720697992494,138.575,out
517,gv2_ss,gv2_ss_v4,temp_chil,gv2_ss_tout_v,ss2sp2_temp,0.05555555555555558,137.575,out
518,gv2_ss,gv2_ss_u4,flow,gv2_ss_flow_out_u,distnwk_consol_flow,0.0,377.5,out
519,gv2_ss,gv2_ss_v4,flow,gv2_ss_flow_out_v,distnwk_consol_flow,0.0,377.5,out
520,gv2_ss,gv2_ss_u5,temp_chil,gv2_ss_tin_u,sp12gv2_temp,274.15,2.0,in
521,gv2_ss,gv2_ss_v5,temp_chil,gv2_ss_tin_v,sp12gv2_temp,-0.0,-2.0,in
522,gv2_ss,gv2_ss_u5,flow,gv2_ss_mfin_u,gv2nwk2ss_flow,0.0,377.5,in
523,gv2_ss,gv2_ss_v5,flow,gv2_ss_mfin_v,gv2nwk2ss_flow,-0.0,377.5,in
524,gv2_ss,gv2_ss_u5,temp_chil,gv2_ss_tout_u,ss2sp2_temp,-0.2656890570797855,138.90833333333333,out
525,gv2_ss,gv2_ss_v5,temp_chil,gv2_ss_tout_v,ss2sp2_temp,-0.0,137.24166666666665,out
526,gv2_ss,gv2_ss_u5,flow,gv2_ss_flow_out_u,distnwk_consol_flow,0.0,377.5,out
527,gv2_ss,gv2_ss_v5,flow,gv2_ss_flow_out_v,distnwk_consol_flow,-0.0,377.5,out
