,Tin,Tout,Twb,E,mw,ma
2334,23.700000000000045,22.100000000000023,15.213528900000028,4.0,235.39999999999998,67112.18182
2335,23.700000000000045,22.100000000000023,15.59960570000004,4.0,234.39999999999998,67112.18182
2336,23.700000000000045,22.100000000000023,15.690901900000028,3.0,238.25999999999996,50334.136360000004
2337,24.700000000000045,23.100000000000023,15.690901900000028,1.0,65.39999999999999,16778.04545
2338,26.700000000000045,24.600000000000023,15.690901900000028,0.0,64.82,0.0
2339,27.200000000000045,25.100000000000023,15.213528900000028,0.0,64.52,0.0
2340,27.700000000000045,26.0,14.139675000000011,0.0,65.96,0.0
2341,28.200000000000045,26.5,14.139675000000011,0.0,64.7,0.0
2342,25.200000000000045,25.0,13.634503199999983,0.0,65.53999999999999,0.0
2343,22.100000000000023,21.200000000000045,13.770425499999988,2.0,234.91999999999996,33556.09091
2344,23.0,21.700000000000045,15.52301620000003,2.0,236.71999999999997,33556.09091
2345,24.0,21.80000000000001,15.108448699999997,2.0,234.79999999999998,33556.09091
2346,24.0,21.80000000000001,15.56941489999997,4.0,237.39999999999998,67112.18182
2347,24.0,21.80000000000001,15.108448699999997,3.0,237.11999999999998,50334.136360000004
2348,24.0,21.80000000000001,14.625923499999999,4.0,234.31999999999996,67112.18182
2349,24.0,21.80000000000001,15.52301620000003,4.0,233.0,67112.18182
2350,24.0,21.80000000000001,15.52301620000003,3.0,236.8,50334.136360000004
2351,24.0,21.80000000000001,14.585424400000022,4.0,234.05999999999997,67112.18182
2352,24.0,21.80000000000001,14.585424400000022,4.0,237.11999999999998,67112.18182
2353,24.0,21.80000000000001,14.144888499999979,4.0,235.91999999999996,67112.18182
2354,24.0,21.80000000000001,13.647829899999977,3.0,238.31999999999996,50334.136360000004
2355,23.0,22.30000000000001,13.647829899999977,2.0,236.51999999999998,33556.09091
2356,23.0,22.200000000000045,14.144888499999979,2.0,236.8,33556.09091
2357,21.700000000000045,21.600000000000023,13.66899810000001,1.0,236.71999999999997,16778.04545
2358,21.200000000000045,21.100000000000023,13.66899810000001,0.0,236.85999999999999,0.0
2359,21.200000000000045,21.100000000000023,13.66899810000001,0.0,237.05999999999997,0.0
2360,22.0,21.600000000000023,15.094279800000038,0.0,234.6,0.0
2361,23.200000000000045,22.200000000000045,15.094279800000038,1.0,236.2,16778.04545
2362,23.100000000000023,21.700000000000045,15.52301620000003,2.0,236.51999999999998,33556.09091
2363,23.5,21.80000000000001,16.460605399999963,2.0,231.4,33556.09091
2364,23.400000000000034,21.900000000000034,16.04872720000003,3.0,233.31999999999996,50334.136360000004
2365,23.400000000000034,21.900000000000034,16.04872720000003,3.0,235.79999999999998,50334.136360000004
2366,23.400000000000034,21.900000000000034,16.04872720000003,2.0,236.31999999999996,33556.09091
2367,23.400000000000034,21.900000000000034,15.56941489999997,3.0,237.85999999999999,50334.136360000004
2368,23.400000000000034,21.900000000000034,15.56941489999997,3.0,234.79999999999998,50334.136360000004
2369,23.400000000000034,21.900000000000034,15.52301620000003,3.0,231.92,50334.136360000004
2370,23.400000000000034,21.900000000000034,15.52301620000003,3.0,237.32,50334.136360000004
2371,23.400000000000034,21.900000000000034,15.59960570000004,3.0,235.39999999999998,50334.136360000004
2372,23.400000000000034,21.900000000000034,15.59960570000004,2.0,236.8,33556.09091
2373,22.900000000000034,22.400000000000034,15.213528900000028,2.0,234.31999999999996,33556.09091
2374,22.900000000000034,21.900000000000034,15.213528900000028,2.0,234.66,33556.09091
2375,21.30000000000001,20.900000000000034,12.703691200000037,0.0,233.51999999999998,0.0
2376,20.80000000000001,20.400000000000034,13.161829600000033,0.0,235.72,0.0
2377,22.30000000000001,20.400000000000034,13.161829600000033,0.0,237.91999999999996,0.0
2378,21.900000000000034,20.900000000000034,15.59960570000004,0.0,235.0,0.0
2379,21.900000000000034,20.900000000000034,16.564906399999984,0.0,235.39999999999998,0.0
2380,23.900000000000034,21.400000000000034,16.460605399999963,0.0,236.06,0.0
2381,23.400000000000034,20.900000000000034,16.019648899999993,0.0,235.11999999999998,0.0
2382,22.600000000000023,21.400000000000034,17.000643200000013,0.0,238.45999999999998,0.0
2383,23.100000000000023,21.400000000000034,17.000643200000013,0.0,235.79999999999998,0.0
2384,23.100000000000023,21.400000000000034,16.460605399999963,0.0,232.71999999999997,0.0
2385,23.100000000000023,21.400000000000034,17.000643200000013,0.0,234.26,0.0
2386,23.100000000000023,21.400000000000034,16.460605399999963,0.0,236.2,0.0
2387,23.100000000000023,21.400000000000034,17.510078300000032,0.0,234.39999999999998,0.0
2388,23.100000000000023,21.400000000000034,17.000643200000013,0.0,236.65999999999997,0.0
2389,23.100000000000023,21.400000000000034,16.04872720000003,0.0,233.71999999999997,0.0
2390,23.100000000000023,21.400000000000034,15.59960570000004,0.0,235.6,0.0
2391,23.100000000000023,21.400000000000034,15.59960570000004,0.0,235.91999999999996,0.0
2392,23.100000000000023,21.400000000000034,15.213528900000028,0.0,233.92,0.0
