,Unit_name,v1_name,v2_name,v1_value,v2_value,y_value,Coeff_v1_2,Coeff_v1_1,Coeff_v2_2,Coeff_v2_1,Coeff_v1_v2,Coeff_cst,obj_contri
237,ep2_3_time3,m_flow,delp,0.0,0.0,0.0,0,0.0020641427948540005,0,0.050812631131290004,0,0.097150997242026,0.0
238,ep2_4_time3,m_flow,delp,0.0,0.0,0.0,0,0.0020641427948540005,0,0.050812631131290004,0,0.097150997242026,0.0
239,ep3_1_time3,m_flow,delp,0.0,0.0,0.0,0,0.0020641427948540005,0,0.050812631131290004,0,0.097150997242026,0.0
240,ep3_2_time3,m_flow,delp,0.0,0.0,0.0,0,0.0020641427948540005,0,0.050812631131290004,0,0.097150997242026,0.0
241,ep3_3_time3,m_flow,delp,0.0,0.0,0.0,0,0.0020641427948540005,0,0.050812631131290004,0,0.097150997242026,0.0
242,ep3_4_time3,m_flow,delp,0.0,0.0,0.0,0,0.0020641427948540005,0,0.050812631131290004,0,0.097150997242026,0.0
243,cp1_1_time3,m_flow,delp,0.0,0.0,0.0,0,0.004027060622522,0,0.04299319119116,0,0.125838743821364,0.0
244,cp1_2_time3,m_flow,delp,0.0,0.0,0.0,0,0.004027060622522,0,0.04299319119116,0,0.125838743821364,0.0
245,cp1_3_time3,m_flow,delp,0.0,0.0,0.0,0,0.004027060622522,0,0.04299319119116,0,0.125838743821364,0.0
246,cp1_4_time3,m_flow,delp,0.0,0.0,0.0,0,0.004027060622522,0,0.04299319119116,0,0.125838743821364,0.0
247,cp2_1_time3,m_flow,delp,0.0,0.0,0.0,0,0.003414146066611,0,0.10780566059883201,0,0.293287808886842,0.0
248,cp2_2_time3,m_flow,delp,0.0,0.0,0.0,0,0.003414146066611,0,0.10780566059883201,0,0.293287808886842,0.0
249,cp2_3_time3,m_flow,delp,0.0,0.0,0.0,0,0.003414146066611,0,0.10780566059883201,0,0.293287808886842,0.0
250,cp2_4_time3,m_flow,delp,0.0,0.0,0.0,0,0.003414146066611,0,0.10780566059883201,0,0.293287808886842,0.0
251,cp3_1_time3,m_flow,delp,0.0,0.0,0.0,0,0.003414146066611,0,0.10780566059883201,0,0.293287808886842,0.0
252,cp3_2_time3,m_flow,delp,0.0,0.0,0.0,0,0.003414146066611,0,0.10780566059883201,0,0.293287808886842,0.0
253,cp3_3_time3,m_flow,delp,0.0,0.0,0.0,0,0.003414146066611,0,0.10780566059883201,0,0.293287808886842,0.0
254,cp3_4_time3,m_flow,delp,0.0,0.0,0.0,0,0.003414146066611,0,0.10780566059883201,0,0.293287808886842,0.0
255,dist_np_combi_0_0_time3,m_flow,delp,0.0,0.0,0.0,0,0.00378381941874153,0,0.05698329580922916,0,0.22358424956826825,0.0
256,dist_np_combi_0_1_time3,m_flow,delp,0.0,0.0,0.0,0,0.00378381941874153,0,0.05698329580922916,0,0.22358424956826825,0.0
257,dist_np_combi_0_2_time3,m_flow,delp,0.0,0.0,0.0,0,0.00378381941874153,0,0.05698329580922916,0,0.22358424956826825,0.0
258,dist_np_combi_0_3_time3,m_flow,delp,0.0,0.0,0.0,0,0.00378381941874153,0,0.05698329580922916,0,0.22358424956826825,0.0
259,dist_np_combi_1_0_time3,m_flow,delp,0.0,0.0,0.0,0,0.0060765360187664316,0,0.029804118280591665,0,0.04663682694529259,0.0
260,dist_np_combi_1_1_time3,m_flow,delp,0.0,0.0,0.0,0,0.0060765360187664316,0,0.029804118280591665,0,0.04663682694529259,0.0
261,dist_np_combi_1_2_time3,m_flow,delp,0.0,0.0,0.0,0,0.0060765360187664316,0,0.029804118280591665,0,0.04663682694529259,0.0
262,dist_np_combi_1_3_time3,m_flow,delp,0.0,0.0,0.0,0,0.0060765360187664316,0,0.029804118280591665,0,0.04663682694529259,0.0
263,dist_np_combi_2_0_time3,m_flow,delp,0.0,0.0,0.0,0,0.005651971661060482,0,0.04445567650577749,0,0.39557425044030553,0.0
264,dist_np_combi_2_1_time3,m_flow,delp,0.0,0.0,0.0,0,0.005651971661060482,0,0.04445567650577749,0,0.39557425044030553,0.0
265,dist_np_combi_2_2_time3,m_flow,delp,0.0,0.0,0.0,0,0.005651971661060482,0,0.04445567650577749,0,0.39557425044030553,0.0
266,dist_np_combi_2_3_time3,m_flow,delp,0.0,0.0,0.0,0,0.005651971661060482,0,0.04445567650577749,0,0.39557425044030553,0.0
267,dist_np_combi_3_0_time3,m_flow,delp,0.0,0.0,0.0,0,0.0060450194113137925,0,0.09024004092598133,0,0.7694938261361537,0.0
268,dist_np_combi_3_1_time3,m_flow,delp,0.0,0.0,0.0,0,0.0060450194113137925,0,0.09024004092598133,0,0.7694938261361537,0.0
269,dist_np_combi_3_2_time3,m_flow,delp,0.0,0.0,0.0,0,0.0060450194113137925,0,0.09024004092598133,0,0.7694938261361537,0.0
270,dist_np_combi_3_3_time3,m_flow,delp,0.0,0.0,0.0,0,0.0060450194113137925,0,0.09024004092598133,0,0.7694938261361537,0.0
271,dist_np_combi_4_0_time3,m_flow,delp,0.0,0.0,0.0,0,0.005594442617352094,0,0.17780603070754328,0,1.9775282632270061,0.0
272,dist_np_combi_4_1_time3,m_flow,delp,0.0,0.0,0.0,0,0.005594442617352094,0,0.17780603070754328,0,1.9775282632270061,0.0
273,dist_np_combi_4_2_time3,m_flow,delp,0.0,0.0,0.0,0,0.005594442617352094,0,0.17780603070754328,0,1.9775282632270061,0.0
